"engine","n","setup_ms","first_laplace_ms","warm_laplace_mean_ms","gradient_setup_ms","gradient_ms","gradient","gradient_method","hessian_nnz","hessian_density","hessian_unique_nnz","hessian_bandwidth","objective","objective_phase_ms","factorization_phase_ms","sensitivity_phase_ms","hdot_phase_ms","hdot_validation_ms","hdot_direction_setup_ms","hdot_reverse_ms","hdot_contraction_ms","trace_phase_ms","gradient_internal_total_ms","optimization_ms","estimate","optimization_converged","repetitions","gradient_repetitions","success","detected_structure","selected_backend","symbolic_reuse","active_directions","hdot_workers","objective_tape_rebuilds","hdot_tape_rebuilds","peak_rss_mib"
"quadra",30,0.002583,0.252417,0.0221474040000001,0.208,0.04045835,-1.86075268885612,"exact_marginal_autodiff",88,0.0977777777777778,59,1,28.6663304294524,0.022125,0.003375,0.000375,0.011208,0,0,0.010958,0,0,0.037334,1.682791,1.26355416191336,1,1000,20,1,"tridiagonal","tridiagonal",0,1,1,0,0,1.859375
"rtmb",30,20.9999999999999,11,0.0770000000000001,NA,0.21,-1.86075268885612,"automatic_differentiation",59,0.0655555555555556,59,1,28.6663304294524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.26355480989351,1,1000,100,1,"tridiagonal","rtmb_sparse_ad",NA,NA,NA,NA,NA,279.890625
"quadra",100,0.004958,0.689917,0.16033402,0.721416,0.2229709,-4.07454257378197,"exact_marginal_autodiff",298,0.0298,199,1,92.9382187758271,0.170667,0.008666,0.000958,0.036667,0,0,0.03625,0,4.1e-05,0.217292,32.748917,1.07885011695016,1,300,10,1,"tridiagonal","tridiagonal",0,1,1,0,0,4.078125
"rtmb",100,23.9999999999999,11,0.0933333333333334,NA,0.36,-4.07454257378198,"automatic_differentiation",199,0.0199,199,1,92.9382187758271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.07885028858521,1,300,50,1,"tridiagonal","rtmb_sparse_ad",NA,NA,NA,NA,NA,276.796875
"quadra",300,0.013291,2.33225,0.66723713,2.298792,0.8159916,-12.5882473031277,"exact_marginal_autodiff",898,0.00997777777777778,599,1,278.926622863545,0.623625,0.021625,0.002167,0.109375,0,0,0.10875,0,0,0.757125,27.967542,1.10993290588607,1,100,5,1,"tridiagonal","tridiagonal",0,1,1,0,0,6.609375
"rtmb",300,34.9999999999999,13,0.15,NA,0.750000000000001,-12.5882473031278,"automatic_differentiation",599,0.00665555555555556,599,1,278.926622863545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.10993754002986,1,100,20,1,"tridiagonal","rtmb_sparse_ad",NA,NA,NA,NA,NA,282.5625
"quadra",1000,0.039709,10.856917,3.3756986,9.413958,4.11309733333333,-41.8882936267178,"exact_marginal_autodiff",2998,0.002998,1999,1,929.408192216126,3.762667,0.071458,0.006958,0.437375,0,0,0.435708,0,4.1e-05,4.279375,152.736583,1.11456360977143,1,30,3,1,"tridiagonal","tridiagonal",0,1,1,0,0,23.5
"rtmb",1000,71,20,0.333333333333334,NA,1.7,-41.8882936267179,"automatic_differentiation",1999,0.001999,1999,1,929.408192216125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1.11456480521206,1,30,10,1,"tridiagonal","rtmb_sparse_ad",NA,NA,NA,NA,NA,307.875
