"engine","objective","gradient_phi","gradient_log_sd","gradient_mu","gradient_catch_sd","gradient_survey_sd","gradient_q1","gradient_q2","gradient_q3","gradient_q4","gradient_q5","estimate_phi","estimate_log_sd","estimate_mu","estimate_catch_sd","estimate_survey_sd","estimate_q1","estimate_q2","estimate_q3","estimate_q4","estimate_q5","fit_objective","fit_gradient_norm","optimization_converged","structure","backend","random_effects","active_directions","hdot_workers"
"quadra",7935.59680096907,-2141.82475023652,-4338.637963539,-427.306893009723,-7565.5006418722,-2614.50895088044,151.036007476085,109.561809673661,105.445039904591,104.826112905972,96.4361852623272,2.05305742388862,1.14317255544868,12.0985428608943,1.28231214698855,-0.932912275474414,-10.9960262520645,-9.15757658024288,-8.84042746323146,-8.67113323440031,-8.18409078876989,991.398242217532,4.36738107435713e-05,1,"tridiagonal","tridiagonal",44,4,4
"rtmb",7935.59680096907,-2141.82475023652,-4338.637963539,-427.306893009723,-7565.5006418722,-2614.50895088044,151.036007476085,109.561809673661,105.445039904591,104.826112905972,96.4361852623272,2.05306286398191,1.14317460395225,12.0985370283934,1.28231206790917,-0.932912686011074,-10.9960296658399,-9.15758223043705,-8.84043178411902,-8.67113730258023,-8.18409479506451,991.398242217887,0.000273951952548295,1,"tridiagonal","rtmb_sparse_ad",44,NA,NA
